,title,total_sales,japan_sales,na_sales,pal_sales,other_sales,platform,developer
861,Tom Clancy's The Division,4.37,0.16,1.49,2.04,0.69,PS4,Massive Entertainment
862,Need for Speed: Most Wanted,4.37,0.08,2.03,1.79,0.47,PS2,EA Canada
863,Tom Clancy's Rainbow Six: Siege,4.36,0.36,1.29,2.06,0.64,PS4,Ubisoft Montreal
864,Call of Duty: Advanced Warfare,4.34,,2.81,1.13,0.41,X360,High Moon Studios
865,Watch Dogs,4.32,0.11,1.4,2.13,0.68,PS4,Ubisoft Montreal
868,Asteroids,4.31,,4.0,0.26,0.05,2600,Atari
872,Batman: Arkham Asylum,4.28,0.07,2.26,1.33,0.63,PS3,Rocksteady Studios
874,Call of Duty: Advanced Warfare,4.27,0.2,1.59,1.81,0.67,PS3,High Moon Studios
877,Namco Museum,4.24,0.05,3.0,1.11,0.07,GBA,Mass Media
879,Destiny 2,4.14,0.1,1.92,1.44,0.69,PS4,Bungie
880,Assassin's Creed: Revelations,4.23,0.1,1.41,2.03,0.69,PS3,Ubisoft Montreal
881,Assassin's Creed: Revelations,4.22,0.04,2.28,1.47,0.44,X360,Ubisoft Montreal
883,FIFA Soccer 06,4.21,0.04,0.78,2.55,0.84,PS2,EA Canada
892,Street Fighter IV,4.19,0.59,2.04,1.05,0.52,PS3,Capcom / Dimps Corporation
894,FIFA Soccer 12,4.18,0.02,0.85,2.79,0.52,X360,EA Canada
895,Batman: Arkham Knight,4.11,0.11,1.65,1.68,0.66,PS4,Rocksteady Studios
896,FIFA 07 Soccer,4.11,0.03,0.71,2.48,0.89,PS2,Team Fusion
897,The Sims 4,4.1,,1.2,2.6,0.3,PC,Maxis
899,Call of Duty: Ghosts,4.17,0.05,1.79,1.64,0.69,PS4,Infinity Ward
900,Teenage Mutant Ninja Turtles,4.17,0.31,3.38,0.44,0.04,NES,Konami
908,Frogger,4.16,,3.79,0.27,0.11,PS,Millenium Interactive
910,Star Wars Battlefront (2015),4.15,0.02,2.49,1.26,0.38,XOne,EA DICE
911,FIFA 14,4.15,0.01,0.94,2.92,0.29,X360,EA Canada
912,Madden NFL 2003,4.14,0.01,3.36,0.21,0.56,PS2,EA Tiburon
913,Assassin's Creed: Unity,4.14,0.09,1.25,2.16,0.65,PS4,Ubisoft Montreal
914,Fallout: New Vegas,4.08,0.04,2.67,1.03,0.34,X360,Obsidian Entertainment
915,Assassin's Creed Origins,4.06,0.11,1.22,2.11,0.63,PS4,Ubisoft Montreal
916,Far Cry 4,4.06,0.11,1.18,2.14,0.63,PS4,Ubisoft Montreal
917,Carnival Games,4.06,0.05,2.12,1.47,0.42,Wii,Cat Daddy Games
918,World Soccer Winning Eleven 9,4.06,0.9,0.12,2.26,0.77,PS2,Konami Computer Entertainment Tokyo
919,Forza Motorsport 2,4.05,0.03,2.35,1.27,0.41,X360,Turn 10 Studios
920,Namco Museum Vol.3,4.05,0.16,2.28,1.55,0.06,PS,Namco
921,Tekken Tag Tournament,4.05,0.51,1.68,1.51,0.35,PS2,Namco
973,Fallout 3,4.0,0.07,2.18,1.15,0.61,PS3,Bethesda Game Studios
975,The Elder Scrolls V: Skyrim,3.99,,1.18,2.25,0.56,PC,Bethesda Game Studios
976,Namco Museum: 50th Anniversary,3.98,,2.08,1.35,0.54,PS2,Digital Eclipse
978,NBA 2K16,3.98,0.05,2.56,0.66,0.71,PS4,Visual Concepts
980,Far Cry 5,3.95,0.15,1.44,1.73,0.62,PS4,Ubisoft
981,Battlefield 4,3.94,0.19,1.4,1.74,0.62,PS4,EA DICE
982,Assassin's Creed IV: Black Flag,3.94,0.13,1.34,1.86,0.62,PS3,Ubisoft Montreal
990,Tony Hawk's Underground,3.9,0.01,2.29,1.17,0.42,PS2,Neversoft Entertainment
991,Just Dance 2014,3.89,,1.91,1.66,0.33,Wii,Ubisoft Paris
993,Sports Champions,3.88,0.1,2.15,1.13,0.5,PS3,SCE San Diego Studio
995,World Soccer Winning Eleven 8 International,3.85,1.12,0.16,1.89,0.68,PS2,Konami Computer Entertainment Tokyo
996,Namco Museum Vol.1,3.84,0.22,2.12,1.44,0.06,PS,Namco
1007,Gran Turismo Sport,3.77,0.24,0.63,2.35,0.54,PS4,Polyphony Digital
1008,LEGO Indiana Jones: The Original Adventures,3.76,,2.4,1.01,0.36,X360,Traveller's Tales
1009,The Sims: Unleashed,3.76,,2.03,1.56,0.17,PC,Maxis
1011,Ratchet & Clank: Size Matters,3.75,0.1,1.4,1.4,0.86,PSP,High Impact Games
1014,FIFA 17,3.71,,1.04,2.4,0.27,XOne,EA Canada
1016,FIFA Soccer 2005,3.7,0.04,0.58,2.48,0.59,PS2,EA Canada
